#RA DEC XI ETA F475W F814W V VERR
10.971 41.601 0.215 0.332 24.935 21.457 -113.226 3.325 
10.976 41.601 0.218 0.332 23.711 20.67 -186.31 1.834 
10.976 41.601 0.219 0.332 26.73 21.597 -263.631 4.887 
10.955 41.601 0.203 0.332 24.948 21.159 -184.868 2.253 
10.969 41.602 0.213 0.333 26.246 21.516 -161.277 6.423 
10.986 41.603 0.226 0.334 25.61 21.148 -143.331 2.316 
10.989 41.603 0.228 0.334 26.042 21.457 -151.961 3.269 
10.938 41.604 0.19 0.335 25.394 21.266 -280.652 3.781 
10.964 41.604 0.209 0.335 24.002 20.942 -309.487 2.634 
10.961 41.605 0.208 0.336 24.387 21.024 -642.502 2.907 
10.957 41.606 0.205 0.337 24.824 21.685 -184.026 4.1 
10.982 41.607 0.223 0.338 23.971 21.129 -360.105 2.226 
10.967 41.608 0.212 0.339 24.918 22.048 -195.245 4.84 
10.979 41.608 0.221 0.339 24.523 21.304 -84.773 5.127 
10.951 41.608 0.2 0.339 24.493 21.364 -248.75 2.593 
10.974 41.602 0.217 0.333 25.217 21.233 -472.437 2.768 
10.946 41.608 0.196 0.339 27.07 21.558 19.968 3.493 
10.948 41.6 0.197 0.331 26.348 21.866 -96.059 5.736 
11.126 41.568 0.331 0.3 23.411 21.31 -233.048 3.532 
11.126 41.568 0.331 0.3 26.101 23.49 -276.989 4.866 
11.1 41.558 0.312 0.289 23.5 21.623 -85.116 3.181 
11.175 41.59 0.368 0.321 23.528 21.634 -87.785 2.89 
11.152 41.594 0.35 0.326 23.203 20.924 -549.697 2.941 
11.162 41.591 0.358 0.323 23.278 21.118 -88.502 4.477 
11.095 41.605 0.308 0.337 22.992 20.947 -69.716 1.49 
11.177 41.568 0.369 0.3 22.986 20.686 -346.113 1.996 
11.187 41.551 0.377 0.283 25.105 21.027 -255.285 3.054 
11.19 41.554 0.379 0.286 23.623 21.692 -235.252 3.431 
11.14 41.572 0.342 0.303 23.209 21.03 -74.862 1.276 
11.106 41.579 0.316 0.31 23.703 21.582 -558.291 7.104 
11.171 41.606 0.365 0.338 23.495 21.519 -84.207 2.308 
11.076 41.602 0.293 0.333 25.29 21.351 -98.975 1.853 
11.182 41.54 0.373 0.272 24.208 21.215 -246.141 5.46 
11.092 41.586 0.306 0.317 24.722 21.03 -66.024 1.606 
11.094 41.572 0.307 0.304 25.283 21.132 -59.989 1.789 
11.091 41.575 0.305 0.306 25.976 21.373 -232.751 2.255 
11.088 41.552 0.303 0.283 24.115 21.259 -86.551 2.572 
11.099 41.553 0.311 0.284 25.468 21.12 -221.498 3.454 
11.115 41.551 0.323 0.283 24.919 21.18 -140.171 3.147 
11.11 41.563 0.319 0.295 25.18 21.557 -164.257 7.709 
11.082 41.572 0.298 0.303 24.859 21.585 -84.687 2.323 
11.046 41.602 0.271 0.333 25.199 21.238 -195.995 1.968 
11.085 41.556 0.3 0.288 25.4 20.994 -112.193 1.892 
11.062 41.588 0.283 0.319 24.613 21.016 -172.676 1.881 
11.079 41.556 0.296 0.287 25.454 21.27 -230.044 4.705 
11.05 41.586 0.274 0.317 24.7 21.531 -91.32 2.232 
11.053 41.582 0.276 0.313 25.164 21.493 -80.403 1.913 
11.044 41.581 0.269 0.312 24.528 21.367 -120.629 2.482 
11.064 41.577 0.284 0.308 26.256 21.572 -153.952 2.088 
11.061 41.572 0.282 0.303 24.889 21.178 -590.918 4.91 
11.06 41.572 0.282 0.303 24.719 21.123 -360.83 3.437 
11.065 41.554 0.285 0.285 24.284 20.863 -263.142 1.827 
11.071 41.569 0.29 0.3 24.238 21.092 -226.7 1.53 
11.074 41.557 0.292 0.289 25.451 21.457 -111.123 6.765 
11.059 41.593 0.281 0.324 24.827 21.478 -123.213 2.71 
11.059 41.593 0.281 0.324 26.75 22.31 -106.576 19.174 
11.052 41.595 0.275 0.326 25.282 21.635 -546.756 3.349 
11.072 41.577 0.291 0.308 24.997 21.623 -104.076 6.023 
11.08 41.559 0.297 0.291 25.284 21.438 -65.071 1.659 
11.048 41.578 0.273 0.31 23.71 20.805 -348.465 2.033 
11.086 41.563 0.301 0.295 24.696 21.148 -366.151 2.904 
11.055 41.554 0.278 0.285 24.683 21.52 -28.25 2.876 
11.147 41.586 0.347 0.318 25.143 21.094 -227.818 2.028 
11.153 41.602 0.351 0.334 24.588 21.031 -53.638 1.938 
11.107 41.6 0.317 0.331 26.026 21.371 -261.258 4.138 
11.084 41.607 0.299 0.338 24.822 21.051 -10.427 1.786 
11.097 41.606 0.309 0.338 24.312 21.222 -212.725 2.003 
