#RA DEC XI ETA F475W F814W V VERR
11.165 41.378 0.361 0.109 24.502 20.425 -190.627 0.945 
11.145 41.382 0.346 0.114 26.505 20.927 -314.147 0.531 
11.204 41.384 0.39 0.116 23.963 20.635 -287.07 1.119 
11.174 41.389 0.367 0.121 24.96 20.81 -225.234 1.196 
11.199 41.391 0.386 0.123 24.251 20.261 -236.715 0.835 
11.191 41.393 0.38 0.125 26.236 20.253 -219.849 1.154 
11.165 41.402 0.361 0.134 23.925 20.369 -543.223 0.751 
11.262 41.412 0.433 0.144 24.959 20.319 -217.675 1.384 
11.26 41.421 0.432 0.153 25.221 20.866 -264.903 2.786 
11.267 41.423 0.437 0.155 26.058 20.423 -186.471 1.199 
11.19 41.427 0.379 0.159 24.117 20.502 -145.738 0.931 
11.2 41.436 0.387 0.168 26.178 21.023 -208.187 1.35 
11.222 41.442 0.403 0.174 24.581 20.739 -186.359 1.461 
11.299 41.442 0.461 0.174 25.212 20.748 -152.576 1.942 
11.274 41.447 0.443 0.179 25.817 21.036 -269.861 4.087 
11.255 41.455 0.428 0.187 25.895 20.965 -73.034 1.7 
11.338 41.46 0.491 0.192 25.587 20.574 -214.565 1.451 
11.269 41.466 0.439 0.198 25.191 20.744 -221.201 1.095 
11.258 41.477 0.43 0.209 25.892 20.527 -207.569 1.748 
11.354 41.477 0.503 0.21 23.017 19.646 -227.655 0.841 
11.33 41.484 0.484 0.216 26.502 21.156 -228.77 3.469 
11.296 41.489 0.458 0.221 26.055 21.05 -245.811 3.641 
11.325 41.518 0.48 0.25 25.805 20.82 -220.457 2.645 
11.301 41.527 0.463 0.259 27.69 21.437 -231.596 1.243 
11.179 41.343 0.372 0.075 24.008 20.608 -197.847 1.22 
11.224 41.347 0.405 0.079 25.872 21.081 -231.818 2.077 
11.166 41.362 0.362 0.094 27.739 21.662 -241.164 4.209 
11.163 41.453 0.359 0.185 25.579 21.019 -87.546 1.123 
11.238 41.479 0.416 0.211 25.583 20.737 -158.384 1.889 
11.202 41.481 0.388 0.213 26.32 20.847 -233.359 1.238 
11.065 41.524 0.286 0.255 26.731 21.228 -6.709 3.411 
11.121 41.529 0.328 0.261 24.831 20.167 -19.34 4.393 
11.097 41.532 0.31 0.263 24.123 20.238 -422.679 0.937 
11.052 41.551 0.275 0.282 24.63 20.454 -9.103 1.085 
10.94 41.579 0.192 0.31 24.649 20.498 -207.972 2.609 
11.066 41.583 0.286 0.315 24.762 20.743 -209.373 1.136 
11.014 41.585 0.247 0.316 25.785 20.583 -133.536 4.017 
11.054 41.587 0.277 0.318 25.154 20.884 -293.703 1.426 
11.043 41.588 0.269 0.319 27.149 21.506 -54.256 1.465 
10.927 41.603 0.182 0.334 25.689 20.74 -83.065 2.189 
10.996 41.616 0.233 0.347 27.722 21.514 -158.376 2.346 
11.007 41.618 0.242 0.349 26.369 21.166 -131.871 1.43 
11.2 41.49 0.387 0.222 25.067 20.144 -187.344 1.304 
11.093 41.54 0.306 0.272 24.585 20.523 4.062 0.95 
11.112 41.542 0.321 0.273 25.288 20.678 -256.325 1.171 
11.124 41.542 0.329 0.274 26.903 21.165 -103.09 0.641 
11.044 41.567 0.269 0.298 26.601 21.15 -34.406 1.538 
10.947 41.578 0.197 0.309 24.993 20.739 -525.854 5.009 
11.03 41.602 0.259 0.334 24.875 20.463 52.53 2.548 
10.978 41.606 0.22 0.337 25.68 20.263 -81.456 2.56 
11.162 41.525 0.358 0.257 28.262 21.225 25.21 4.064 
11.244 41.518 0.42 0.25 24.797 20.811 -224.523 1.878 
11.215 41.521 0.398 0.253 24.901 20.717 -187.597 11.487 
11.291 41.538 0.455 0.27 24.39 19.781 -228.505 1.272 
11.251 41.542 0.425 0.274 24.586 20.461 -374.673 1.165 
11.277 41.547 0.445 0.279 26.83 20.557 -201.668 0.398 
11.246 41.552 0.421 0.284 24.977 20.634 -145.533 1.289 
11.214 41.553 0.397 0.285 27.901 20.794 -163.468 2.884 
11.175 41.558 0.368 0.29 22.751 20.376 -166.93 0.752 
11.168 41.572 0.362 0.303 24.437 20.343 -131.012 0.962 
11.129 41.572 0.333 0.304 24.134 20.583 -409.129 1.38 
11.119 41.573 0.326 0.304 27.064 21.437 -333.116 0.778 
11.151 41.574 0.35 0.306 23.853 20.477 -285.857 1.392 
11.107 41.591 0.317 0.323 27.047 21.048 -17.471 2.053 
11.174 41.594 0.367 0.325 26.099 20.831 -60.207 1.808 
11.075 41.595 0.293 0.327 25.865 20.907 -568.629 2.406 
11.199 41.596 0.386 0.328 26.217 21.191 -260.104 2.04 
11.132 41.599 0.335 0.33 24.587 20.672 -89.207 6.6 
11.168 41.606 0.363 0.338 25.587 20.643 -184.579 1.677 
11.159 41.608 0.355 0.339 26.644 20.992 -275.502 2.07 
11.04 41.62 0.266 0.351 23.729 20.068 -70.419 0.658 
11.033 41.626 0.261 0.357 26.446 20.731 -67.24 1.887 
11.07 41.628 0.289 0.359 23.899 20.623 -357.623 1.988 
11.083 41.628 0.299 0.359 24.027 20.304 -270.362 0.736 
11.122 41.634 0.328 0.365 24.628 20.498 -166.721 1.076 
11.112 41.647 0.32 0.379 26.836 21.147 -377.672 3.188 
11.09 41.652 0.304 0.384 26.025 20.93 -91.642 1.53 
11.12 41.623 0.327 0.355 24.578 20.71 -235.61 1.69 
11.104 41.646 0.314 0.378 26.959 21.325 -42.551 1.628 
11.027 41.678 0.257 0.409 26.791 21.002 -159.957 2.799 
11.226 41.57 0.406 0.302 25.524 20.47 -194.782 0.998 
11.308 41.58 0.467 0.312 25.164 20.792 -188.925 1.384 
11.281 41.596 0.447 0.328 25.975 20.649 -151.156 0.557 
11.23 41.599 0.409 0.331 24.717 20.784 -231.926 3.224 
11.256 41.611 0.428 0.343 27.179 21.302 -49.199 2.981 
11.31 41.612 0.469 0.344 24.224 20.536 -105.557 3.142 
11.205 41.619 0.39 0.351 26.497 21.234 -129.717 3.345 
11.204 41.622 0.39 0.354 26.687 20.795 -163.187 3.097 
11.224 41.633 0.405 0.365 26.061 20.721 -193.895 1.829 
11.162 41.644 0.358 0.375 26.186 20.984 -190.324 3.001 
11.138 41.644 0.34 0.376 26.83 20.766 -202.591 1.741 
11.19 41.647 0.379 0.378 24.369 20.436 -50.002 1.143 
11.083 41.656 0.299 0.388 29.488 21.522 -74.61 5.101 
11.066 41.667 0.286 0.399 24.676 20.72 -278.63 3.398 
11.15 41.705 0.349 0.437 26.328 20.995 -125.951 1.837 
11.065 41.707 0.285 0.439 26.752 20.713 9.165 1.346 
11.152 41.709 0.35 0.44 26.12 20.766 -116.569 3.827 
11.087 41.714 0.302 0.445 26.028 21.059 -244.965 3.376 
11.03 41.716 0.259 0.447 24.75 20.582 -110.536 2.49 
11.024 41.718 0.254 0.449 24.439 20.048 -226.51 2.031 
11.04 41.722 0.266 0.454 27.72 21.006 -28.242 3.134 
11.096 41.733 0.308 0.464 27.089 21.509 -174.982 2.98 
11.338 41.558 0.49 0.291 24.915 20.793 74.487 12.46 
11.318 41.528 0.475 0.261 24.453 20.221 -149.55 0.456 
11.33 41.532 0.484 0.264 23.037 20.455 -474.591 1.417 
11.395 41.533 0.533 0.265 29.27 21.634 -94.751 8.56 
11.357 41.535 0.505 0.268 24.309 20.546 -172.836 2.448 
11.346 41.537 0.496 0.27 25.29 20.867 -223.268 2.669 
11.336 41.538 0.488 0.27 24.65 20.756 -199.362 1.699 
11.4 41.566 0.537 0.299 25.418 20.829 -76.963 6.557 
11.403 41.57 0.539 0.302 28.19 21.445 -82.734 2.572 
11.35 41.572 0.499 0.304 26.019 20.679 -146.368 1.425 
11.33 41.581 0.484 0.313 25.857 20.673 -144.318 1.252 
11.369 41.603 0.513 0.336 25.977 21.104 -115.584 3.048 
11.379 41.607 0.521 0.34 24.871 20.564 -216.649 1.604 
11.36 41.614 0.506 0.346 25.267 20.332 -167.621 0.97 
11.43 41.617 0.559 0.35 25.371 20.945 -324.543 3.292 
11.386 41.624 0.526 0.357 23.194 20.254 -268.679 1.485 
11.443 41.634 0.569 0.367 26.628 21.109 -141.212 4.157 
11.404 41.635 0.539 0.368 25.798 20.819 -179.449 4.119 
11.464 41.642 0.585 0.375 24.795 20.794 -30.412 3.143 
11.477 41.666 0.594 0.399 27.447 21.014 -166.997 2.185 
11.442 41.674 0.568 0.407 25.881 20.621 -98.515 1.28 
11.423 41.681 0.553 0.414 26.426 21.157 -33.368 1.373 
11.468 41.69 0.587 0.424 26.824 21.097 8.399 4.059 
11.473 41.702 0.591 0.435 25.131 20.44 -24.858 1.841 
11.545 41.702 0.645 0.436 26.49 20.448 -199.31 2.853 
11.472 41.712 0.59 0.446 25.194 20.511 -144.672 1.939 
11.466 41.725 0.586 0.459 24.719 20.655 -251.817 2.589 
11.329 41.574 0.484 0.306 24.932 20.598 -120.321 1.763 
11.479 41.726 0.595 0.46 26.889 21.149 -98.635 3.252 
11.256 41.763 0.428 0.495 25.158 20.672 -54.725 10.308 
11.389 41.672 0.528 0.405 28.856 21.814 -233.084 1.282 
11.385 41.675 0.525 0.408 24.008 20.33 -148.134 2.739 
11.413 41.685 0.546 0.418 26.345 20.814 -49.786 1.917 
11.412 41.698 0.545 0.431 25.424 20.772 -322.383 3.031 
11.389 41.699 0.528 0.432 24.023 20.596 -261.689 1.623 
11.416 41.7 0.548 0.433 27.465 21.249 -289.019 4.28 
11.323 41.704 0.478 0.437 26.019 20.669 -247.076 1.284 
11.319 41.708 0.476 0.44 25.347 20.951 -41.721 2.695 
11.403 41.709 0.538 0.442 24.577 20.375 -217.598 1.23 
11.31 41.731 0.469 0.463 25.654 20.813 -0.531 6.132 
11.34 41.731 0.491 0.463 26.575 20.376 -10.17 1.542 
11.27 41.736 0.438 0.468 24.957 20.768 -15.913 2.727 
11.277 41.747 0.444 0.479 27.191 21.224 -204.288 4.596 
11.291 41.748 0.454 0.48 25.295 20.871 -81.341 1.241 
11.324 41.749 0.479 0.481 23.361 20.535 -185.043 1.728 
11.305 41.756 0.465 0.488 24.951 20.829 -64.287 1.9 
11.253 41.761 0.426 0.493 25.697 20.785 -149.096 3.796 
11.239 41.763 0.415 0.495 25.205 20.87 -112.665 4.265 
11.23 41.772 0.409 0.504 26.183 20.871 -130.625 3.55 
11.26 41.776 0.431 0.508 25.822 20.532 -69.786 1.791 
11.32 41.779 0.476 0.512 26.342 20.935 -160.326 2.448 
11.233 41.785 0.411 0.517 24.498 20.584 -66.971 2.486 
11.208 41.792 0.392 0.524 27.889 21.109 -140.225 8.839 
11.188 41.816 0.377 0.548 24.239 20.285 -17.769 1.759 
11.199 41.823 0.385 0.555 25.705 20.442 -160.362 3.547 
11.148 41.824 0.347 0.556 25.571 20.643 -129.738 3.093 
11.211 41.824 0.394 0.556 26.178 20.334 -89.934 1.152 
11.143 41.838 0.343 0.57 24.253 20.48 -64.671 1.771 
11.21 41.842 0.394 0.574 25.885 20.613 -198.077 3.223 
11.2 41.848 0.386 0.58 25.346 19.948 -75.317 1.483 
11.179 41.857 0.37 0.589 24.669 20.726 -12.118 1.993 
11.168 41.866 0.362 0.598 29.984 21.531 -68.857 5.05 
11.157 41.867 0.354 0.598 27.053 21.165 -11.41 2.093 
11.42 41.701 0.552 0.434 25.79 20.945 -119.597 2.804 
11.295 41.712 0.457 0.445 24.878 20.501 -79.184 2.569 
11.39 41.727 0.529 0.46 24.462 20.705 -137.812 1.488 
11.295 41.791 0.457 0.523 27.097 21.382 -132.493 5.056 
11.295 41.791 0.457 0.523 26.013 20.702 -91.774 3.6 
11.507 41.824 0.616 0.558 26.335 20.619 -76.689 0.705 
11.469 41.831 0.587 0.565 27.397 21.297 -142.471 2.221 
